村志代码 Gazetteer Code,村志书名 Gazetteer Title,Is the data available?,Start Year,End Year,Data,Category,Division1,Division2,Division3,Division4,Subdivision
0054,西官庄村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0054,西官庄村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0054,西官庄村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0054,西官庄村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0054,西官庄村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0054,西官庄村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0054,西官庄村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0054,西官庄村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0054,西官庄村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0054,西官庄村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0052,郭家沟村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0052,郭家沟村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0052,郭家沟村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0052,郭家沟村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0052,郭家沟村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0052,郭家沟村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0052,郭家沟村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0052,郭家沟村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0052,郭家沟村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0052,郭家沟村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0052,郭家沟村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0052,郭家沟村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0055,西园村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0055,西园村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0055,西园村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0055,西园村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0055,西园村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0055,西园村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0055,西园村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0055,西园村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0055,西园村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0055,西园村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0055,西园村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0055,西园村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0056,沐陂村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0056,沐陂村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0056,沐陂村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0056,沐陂村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0056,沐陂村志,No,n/a,n/a,n/a,老师 Teachers,小学 Elementary School,,,,
0056,沐陂村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0056,沐陂村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0056,沐陂村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
0056,沐陂村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,小学 Elementary School,,,人数 number of people
0056,沐陂村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,初中 Junior High School,,,人数 number of people
0056,沐陂村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,中专高中 High School,,,人数 number of people
0056,沐陂村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,大专以上 College/University or Higher,,,人数 number of people
0057,尧治河村志,No,n/a,n/a,n/a,在校生 Students in School,小学 Elementary School,,,,
0057,尧治河村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0057,尧治河村志,No,n/a,n/a,n/a,在校生 Students in School,初中 Junior High School,,,,
0057,尧治河村志,No,n/a,n/a,n/a,新入学生 - 大学 Initial Student Enrollment - College/University,,,,,
0057,尧治河村志,Yes,1951,2007,41,老师 Teachers,小学 Elementary School,,,,
0057,尧治河村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0057,尧治河村志,No,n/a,n/a,n/a,老师 Teachers,初中 Junior High School,,,,
0057,尧治河村志,No,n/a,n/a,n/a,受教育程度 Highest Level of Education,,文盲 Illiterate,,,人数 number of people
